Course Title,Rating,Reviews,Level,Skill Outcome,Exact Learning Period
C Programming: Getting Started - 1,4.6 stars,133 reviews,Beginner," Computer Programming, Computer Programming Tools, Entrepreneurship ",1-3 months
面向对象技术高级课程（The Advanced Object-Oriented Technology） free,4.5 stars,12 reviews,Advanced, -,3-6 months
Introduction to Software Engineering,4.7 stars,380 reviews,Beginner," Software Engineering, Software Engineering Tools, Agile Software Development ",1-3 months
Ethics in Engineering new free,4.8 stars,6 reviews,Beginner, -,1 month
Machine Learning for All,4.7 stars,3.2k reviews,Beginner," Machine Learning, Applied Machine Learning, Artificial Neural Networks ",1 month
Cyber-Physical Systems: Modeling and Simulation free,4.5 stars,40 reviews,Intermediate," Differential Equations, Mathematics ",1 month
Introduction and Programming with IoT Boards free,4.6 stars,1.7k reviews,Beginner," Internet Of Things, Information Technology, Computer Science ",1-3 months
C Programming: Language Foundations - 2,4.6 stars,56 reviews,Beginner," Algorithms, Computer Programming, Computer Programming Tools ",1-3 months
C Programming: Modular Programming and Memory Management - 3,4.7 stars,35 reviews,Beginner," Computer Programming, Human Computer Interaction, Algebra ",1-3 months
C Programming: Pointers and Memory Management - 4,4.7 stars,30 reviews,Beginner," Computer Programming, Human Computer Interaction, Other Programming Languages ",1-3 months
Linux Basics: The Command Line Interface - 6,4.7 stars,15 reviews,Beginner," Computer Architecture, Computer Networking, Computer Programming ",1-3 months
C Programming: Using Linux Tools and Libraries - 7,4.6 stars,14 reviews,Beginner," Computer Programming, Linux ",1-3 months
C Programming: Advanced Data Types - 5,4.3 stars,24 reviews,Advanced," Computer Programming, Human Computer Interaction, Other Programming Languages ",1-3 months
Web Applications for Everybody specialization ,4.7 stars,8.8k reviews,Intermediate," Web Development, Other Web Programming Languages, SQL ",3-6 months
Fundamentals of Digital Image and Video Processing free,4.6 stars,1.7k reviews,Mixed," Computer Graphic Techniques, Computer Graphics, Computer Vision ",1-3 months
Autodesk CAD/CAM/CAE for Mechanical Engineering specialization ,4.8 stars,4.7k reviews,Intermediate," Algorithms, Design and Product, Theoretical Computer Science ",3-6 months
Introduction to Self-Driving Cars,4.7 stars,2.7k reviews,Advanced," Computer Programming, Python Programming, Application Development ",1-3 months
State Estimation and Localization for Self-Driving Cars,4.7 stars,794 reviews,Advanced," Computer Programming, Computer Science, Python Programming ",1-3 months
Autodesk Fusion 360 Integrated CAD/CAM/CAE,4.7 stars,1.9k reviews,Intermediate," Theoretical Computer Science, Computer Graphic Techniques, Design and Product ",1-3 months
Linear Regression new,-,#VALUE!,Intermediate, R Programming ,1 month
Model Diagnostics and Remedial Measures new,-,-,Intermediate, R Programming ,1 month
Computer Vision for Engineering and Science specialization,4.7 stars,26 reviews,Intermediate," Machine Learning, Computer Vision, Computer Graphic Techniques ",1-3 months
Embedded Software and Hardware Architecture,4.5 stars,448 reviews,Intermediate," C Programming Language Family, Computer Programming, Theoretical Computer Science ",1 month
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),4.9 stars,3.4k reviews,Mixed," Computer Architecture, Computer Programming, Hardware Design ",1-3 months
Operations Research (1): Models and Applications free,4.8 stars,365 reviews,Beginner," Operations Research, Research and Design, Strategy and Operations ",1-3 months
Arm Cortex-M Processors Overview,4.7 stars,34 reviews,Intermediate, Computer Architecture ,1 month
Introduction to Computer Vision,4.5 stars,20 reviews,Intermediate," Computer Vision, Machine Learning, Computer Graphic Techniques ",1 month
Operations Research (2): Optimization Algorithms free,4.8 stars,83 reviews,Intermediate," Strategy and Operations, Operations Research, Research and Design ",1-3 months
Machine Learning for Computer Vision,5.0 stars,5 reviews,Intermediate," Machine Learning, Computer Vision ",1 month
Object Tracking and Motion Detection with Computer Vision,5.0 stars,5 reviews,Intermediate," Computer Vision, Machine Learning ",1 month
Operations Research (3): Theory free,5.0 stars,53 reviews,Advanced," Operations Research, Research and Design, Strategy and Operations ",1-3 months
Programming with Cloud IoT Platforms free,4.3 stars,294 reviews,Beginner," Cloud Computing, Computer Architecture, Computer Networking ",1-3 months
Digital Systems: From Logic Gates to Processors free,4.4 stars,713 reviews,Intermediate," Computational Logic, Computer Architecture, Theoretical Computer Science ",1-3 months
Bachelor of Science in Computer Science degree ,-,-,-," Computer Programming, Theoretical Computer Science, Web Development ",1 month
Master of Science in Computer Science degree ,-,-,-,-,1 month
Machine Learning and Reinforcement Learning in Finance specialization ,3.7 stars,783 reviews,Intermediate," Machine Learning, Finance, Algorithms ",3-6 months
Image and Video Processing: From Mars to Hollywood with a Stop at the Hospital free,4.7 stars,1.1k reviews,Mixed," Computer Graphic Techniques, Computer Graphics, Applied Mathematics ",1-3 months
Guided Tour of Machine Learning in Finance,3.8 stars,654 reviews,Intermediate," Machine Learning, Algorithms, Finance ",1 month
Fundamentals of Machine Learning in Finance,3.8 stars,323 reviews,Intermediate," Machine Learning, Markov Model ",1 month
Teaching Impacts of Technology: Relationships,4.0 stars,-,Beginner," Marketing, Entrepreneurship, Communication ",1-3 months
Network Analysis in Systems Biology,4.5 stars,192 reviews,Intermediate," Bioinformatics, Probability & Statistics, Algorithms ",1-3 months
Deploying a Pytorch Computer Vision Model API to Heroku guided project ,5.0 stars,-,Intermediate," Computer Vision, Machine Learning, Python Programming ",1 month
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,4.7 stars,895 reviews,Advanced," Computer Graphics, Graphics Software, Software Architecture ",1 month
Bachelor of Science in Computer Science degree ,-,-,-," Mathematical Theory & Analysis, Mathematics, Algorithms ",1 month
IBM Data Engineering,4.6 stars,44.4k reviews,Beginner," Data Management, Databases, Data Structures ",3-6 months
Data Engineering Foundations specialization ,4.6 stars,43.4k reviews,Beginner," Data Structures, Data Management, Databases ",3-6 months
Prompt Engineering for ChatGPT new,4.9 stars,904 reviews,Beginner," Advertising, Business Analysis, Communication ",1-3 months
IBM AI Engineering,4.6 stars,16.9k reviews,Intermediate," Machine Learning, Computer Programming, Python Programming ",3-6 months
IBM Applied DevOps Engineering,4.7 stars,3.5k reviews,Intermediate," DevOps, Software Engineering, Cloud Computing ",3-6 months
Machine Learning Engineering for Production (MLOps) specialization ,4.7 stars,3.1k reviews,Advanced," Machine Learning, Applied Machine Learning, DevOps ",3-6 months
The Bits and Bytes of Computer Networking,4.7 stars,45.3k reviews,Beginner," Computer Networking, Network Model, Network Security ",1-3 months
Microsoft Azure Data Engineering Associate (DP-203),4.4 stars,713 reviews,Intermediate," Cloud Computing, Microsoft Azure, Data Management ",3-6 months
Accelerated Computer Science Fundamentals specialization ,4.7 stars,3.2k reviews,Intermediate," Computer Programming, C++ Programming, Data Structures ",1-3 months
Introduction to Computers and Operating Systems and Security new,4.8 stars,143 reviews,Beginner," Cloud Computing, Communication, Computer Architecture ",1 month
"Data Engineering, Big Data, and Machine Learning on GCP specialization ",4.6 stars,17.7k reviews,Intermediate," Cloud Computing, Computer Architecture, Data Management ",3-6 months
Financial Engineering and Risk Management specialization ,4.5 stars,188 reviews,Intermediate," Finance, Probability & Statistics, Risk Management ",3-6 months
Introduction to Discrete Mathematics for Computer Science specialization ,4.5 stars,3.4k reviews,Beginner," Mathematics, Graph Theory, Computer Science ",3-6 months
"Ethics, Technology and Engineering",4.7 stars,693 reviews,Beginner, Critical Thinking ,1-3 months
Site Reliability Engineering: Measuring and Managing Reliability,4.5 stars,851 reviews,Intermediate," DevOps, Information Technology, Computer Science ",1-3 months
Introduction to Data Engineering,4.7 stars,1.9k reviews,Beginner," Data Engineering, Data Management, Extract, Transform, Load ",1 month
Optical Engineering specialization ,4.4 stars,325 reviews,Advanced," Theoretical Computer Science, Algorithms, Entrepreneurship ",3-6 months
Fundamentals of Engineering Exam Review,4.7 stars,600 reviews,Mixed," Algebra, Entrepreneurship, Leadership and Management ",1-3 months
"Python, Bash and SQL Essentials for Data Engineering specialization ",4.5 stars,265 reviews,Beginner," Computer Programming, Statistical Programming, Python Programming ",3-6 months
Computer Forensics specialization ,4.8 stars,174 reviews,Intermediate," Security Engineering, Computer Networking, Computer Security Incident Management ",3-6 months
Akamai Network Engineering new,4.9 stars,12 reviews,Beginner," Computer Security Incident Management, Mobile Security, Network Architecture ",3-6 months
Python Project for Data Engineering,4.6 stars,426 reviews,Intermediate," Data Structures, Python Programming, Extract, Transform, Load ",1 month
Introduction to Computer Information Systems specialization ,4.4 stars,121 reviews,Beginner," Computer Networking, Research and Design, Communication ",1-3 months
Foundations of Healthcare Systems Engineering,4.6 stars,230 reviews,Mixed," Leadership and Management, Entrepreneurship, Operating Systems ",1 month
Introduction to Computer Programming with Visual Basic specialization ,4.6 stars,93 reviews,Beginner," Computer Programming, Other Programming Languages, Theoretical Computer Science ",3-6 months
Software Engineering Tools and Practices new specialization ,3.8 stars,12 reviews,Beginner," Cloud API, Cloud Infrastructure, Communication ",3-6 months
Software Engineering specialization ,4.6 stars,189 reviews,Intermediate," Software Engineering, Theoretical Computer Science, Software Testing ",3-6 months
Computer Security and Systems Management specialization ,4.6 stars,1.8k reviews,Beginner," Operating Systems, Security Engineering, System Security ",3-6 months
"Data Engineering, Big Data and ML on Google Cloud 日本語版 specialization ",4.4 stars,287 reviews,Intermediate," Cloud Computing, Data Management, Computer Architecture ",3-6 months
"Computers, Waves, Simulations: A Practical Introduction to Numerical Methods using Python free",4.7 stars,333 reviews,Intermediate," Differential Equations, Mathematics, Mathematical Theory & Analysis ",1-3 months
Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics free,4.6 stars,539 reviews,Intermediate," Mathematics, Applied Mathematics, Computer Graphic Techniques ",1-3 months
Introduction to Mechanical Engineering Design and Manufacturing with Fusion 360,4.8 stars,3.7k reviews,Intermediate," Algorithms, Design and Product, Entrepreneurship ",1-3 months
Fundamentals of Computer Network Security specialization ,3.9 stars,528 reviews,Intermediate," Security Engineering, Information Technology, Cryptography ",3-6 months
Image Processing for Engineering and Science specialization ,4.8 stars,98 reviews,Beginner," Computer Vision, Machine Learning, Computer Graphic Techniques ",1-3 months
Data Engineering and Machine Learning using Spark,3.9 stars,113 reviews,Intermediate," Apache, Big Data, Applied Machine Learning ",1 month
Python and Pandas for Data Engineering,4.6 stars,149 reviews,Beginner," Computer Programming, Python Programming, Statistical Programming ",1 month
Requirements Engineering: Secure Software  Specifications specialization ,4.5 stars,764 reviews,Beginner," Software Engineering, Design and Product, Product Design ",3-6 months
Real-World Engineering Management new specialization ,4.4 stars,33 reviews,Beginner," Human Resources, Leadership Development, Leadership and Management ",1-3 months
Software Engineering: Modeling Software Systems using UML,4.6 stars,103 reviews,Intermediate," Software Engineering, Computer Programming, Computer Programming Tools ",1-3 months
Computer Vision in Microsoft Azure,4.6 stars,63 reviews,Beginner," Cloud Computing, Computer Vision, Machine Learning ",1 month
Linux and Bash for Data Engineering,4.6 stars,71 reviews,Intermediate," Computer Programming, Human Computer Interaction, Software Architecture ",1 month
Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion free,4.9 stars,698 reviews,Mixed," Entrepreneurship, Leadership and Management, Mathematics ",1-3 months
Engineering Design Process with Autodesk Fusion 360,4.7 stars,440 reviews,Advanced," Design and Product, Theoretical Computer Science, Product Design ",1 month
Microsoft Azure Databricks for Data Engineering,4.4 stars,72 reviews,Intermediate," Cloud Computing, Microsoft Azure, Data Management ",1-3 months
Scripting with Python and SQL for Data Engineering,4.5 stars,65 reviews,Intermediate," Data Management, Databases, Statistical Programming ",1 month
Foundations of Computer Science,4.5 stars,61 reviews,Beginner," Theoretical Computer Science, Algorithms, Cloud Computing ",1-3 months
Cloud Data Engineering,4.1 stars,62 reviews,Intermediate," Cloud Computing, Data Management, Amazon Web Services ",1 month
Prompt Engineering with GPT: Programming for Custom Content new guided project ,3.0 stars,-,Intermediate," Application Development, Machine Learning, Python Programming ",1 month
Feature Engineering,4.5 stars,1.7k reviews,Intermediate," Machine Learning, Feature Engineering, Computer Programming ",1-3 months
Web Applications and Command-Line Tools for Data Engineering,4.1 stars,21 reviews,Intermediate," Cloud Computing, Amazon Web Services, Theoretical Computer Science ",1 month
Software Engineering: Implementation and Testing,4.5 stars,23 reviews,Intermediate," Software Engineering, Software Testing, Agile Software Development ",1-3 months
Computer Vision Fundamentals with Google Cloud,4.6 stars,528 reviews,Advanced," Artificial Neural Networks, Computer Graphic Techniques, Computer Graphics ",1-3 months
Computer Simulations,4.5 stars,77 reviews,Beginner," Software Engineering, Theoretical Computer Science, Accounting ",1 month
AI Workflow: Feature Engineering and Bias Detection,4.3 stars,66 reviews,Advanced," Algorithms, Cloud Computing, Dimensionality Reduction ",1 month
Proactive Computer Security,4.7 stars,239 reviews,Beginner," Security Engineering, Computer Networking, Computer Security Incident Management ",1-3 months
Software Engineering: Software Design and Project Management,4.6 stars,72 reviews,Intermediate," Theoretical Computer Science, Operating Systems, Software Engineering ",1-3 months
Build a computer vision app with Azure Cognitive Services guided project ,4.5 stars,94 reviews,Intermediate," Brand Management, Cloud API, Cloud Computing ",1 month
"Data Engineering, Big Data and ML on Google Cloud en Español specialization ",4.7 stars,751 reviews,Intermediate," Applied Machine Learning, Big Data, Business Analysis ",3-6 months
Engineering Practices for Building Quality Software,4.5 stars,310 reviews,Intermediate," Software Engineering, Continuous Delivery, Continuous Integration ",1-3 months
Using Rapid Prototyping in the Engineering Design Process new,5.0 stars,-,Beginner,  ,1 month
Cloud Machine Learning Engineering and MLOps,4.5 stars,64 reviews,Intermediate," Machine Learning, DevOps, Cloud Computing ",1 month
Mastering the Software Engineering Interview,4.6 stars,552 reviews,Intermediate," Entrepreneurship, Communication, Computer Programming ",1-3 months
Introduction to Public Health Engineering in Humanitarian Contexts free,4.7 stars,347 reviews,Beginner," Leadership and Management, Operating Systems, Supply Chain and Logistics ",1-3 months
Engineering Maintainable Android Apps,4.5 stars,278 reviews,Mixed," Mobile Development, Android Development, Mobile Development Tools ",1-3 months
Master of Computer and Information Technology degree ,-,-,-," Theoretical Computer Science, Computer Programming, Databases ",1 month
Master of Computer Science (feat. Data Science Track) degree ,-,-,-,-,1 month
Master of Science in Computer Science degree ,-,-,-," Theoretical Computer Science, Probability & Statistics, General Statistics ",1 month
Master of Engineering in Engineering Management degree ,-,-,-," Theoretical Computer Science, Probability & Statistics, General Statistics ",1 month
Master of Science in Software Engineering degree ,-,-,-," Network Security, Risk Management ",1 month
Master of Computer Science degree ,-,-,-," Theoretical Computer Science, Machine Learning, Software Engineering ",1 month
Master of Science in Electrical Engineering degree ,-,-,-," Theoretical Computer Science, Probability & Statistics, General Statistics ",1 month
Engineering Management Graduate Certificate graduate certificate ,-,-,-," Leadership and Management, Finance, Strategy and Operations ",1 month
Graduate Diploma in Computer Science graduate certificate ,-,-,-," Databases, Statistical Programming, Data Management ",1 month
Graduate Certificate in Computer Science graduate certificate ,-,-,-," Computer Programming, C Programming Language Family, C++ Programming ",1 month
Google Cybersecurity new,4.8 stars,9.3k reviews,Beginner," Security Engineering, Computer Networking, Network Security ",3-6 months
Google Data Analytics,4.8 stars,124.8k reviews,Beginner," Data Analysis, SQL, Spreadsheet Software ",3-6 months
Google IT Support,4.8 stars,176.4k reviews,Beginner," Operating Systems, Computer Networking, System Software ",3-6 months
IBM Data Science,4.6 stars,115k reviews,Beginner," Python Programming, Data Science, Data Analysis ",3-6 months
Google UX Design,4.8 stars,69.3k reviews,Beginner," Human Computer Interaction, User Experience, User Experience Design ",3-6 months
IBM Data Analyst,4.6 stars,68.2k reviews,Beginner," Data Analysis, Python Programming, Data Visualization ",3-6 months
Machine Learning specialization ,4.9 stars,15k reviews,Beginner," Machine Learning, Probability & Statistics, Machine Learning Algorithms ",1-3 months
Introduction to Data Science specialization ,4.6 stars,82.7k reviews,Beginner," Data Science, SQL, Databases ",3-6 months
Deep Learning specialization ,4.8 stars,140.4k reviews,Intermediate," Deep Learning, Machine Learning, Artificial Neural Networks ",3-6 months
IBM Applied AI,4.6 stars,45.4k reviews,Beginner," Machine Learning, Cloud Computing, IBM Cloud ",3-6 months
IBM Back-End Development,4.6 stars,35.2k reviews,Beginner," Software Engineering, Computer Programming, Web Development ",3-6 months
Generative AI with Large Language Models new,4.8 stars,694 reviews,Intermediate," Advertising, Communication, Computer Programming ",1 month
Google Advanced Data Analytics new,4.7 stars,1.4k reviews,Advanced," Data Analysis, Probability & Statistics, Business Analysis ",3-6 months
Foundations of Cybersecurity new,4.9 stars,7.2k reviews,Beginner," Computer Networking, Network Security, Security Engineering ",1 month
"DevOps, Cloud, and Agile Foundations specialization ",4.7 stars,6.7k reviews,Beginner," DevOps, Cloud Computing, Software Engineering ",3-6 months
Meta Front-End Developer,4.7 stars,12.2k reviews,Beginner," Web Development, Front-End Web Development, React (web framework) ",3-6 months
Microsoft Cybersecurity Analyst new,4.7 stars,168 reviews,Beginner," Cloud Computing, Communication, Computer Architecture ",3-6 months
IBM IT Project Manager new,4.8 stars,1.8k reviews,Beginner," Software Engineering, Agile Software Development, Software Engineering Tools ",3-6 months
Cloud Application Development Foundations specialization ,4.6 stars,5.4k reviews,Beginner," Cloud Computing, Web Development, IBM Cloud ",3-6 months
IBM IT Support,4.7 stars,5.7k reviews,Beginner," Computer Networking, Cloud Computing, Customer Success ",3-6 months
IBM Front-End Developer new,4.5 stars,2.5k reviews,Beginner," Software Engineering, Web Development, Cloud Computing ",3-6 months
Google IT Automation with Python,4.7 stars,40.4k reviews,Beginner," Computer Programming, Python Programming, Cloud Computing ",3-6 months
Information Technology (IT) and Cloud Fundamentals specialization ,4.7 stars,5.3k reviews,Beginner," Computer Networking, Cloud Computing, Security Engineering ",3-6 months
IBM IT Scrum Master new,4.8 stars,3.2k reviews,Beginner," Software Engineering, DevOps, Agile Software Development ",3-6 months
IBM Cybersecurity Analyst,4.6 stars,21k reviews,Beginner," Security Engineering, Cyberattacks, Computer Security Incident Management ",3-6 months
IBM Data Warehouse Engineer,4.7 stars,3.2k reviews,Beginner," Data Management, Databases, SQL ",3-6 months
Meta React Native specialization ,4.7 stars,5.5k reviews,Beginner," Web Development, Javascript, Mobile Development ",3-6 months
Meta Back-End Developer,4.7 stars,5.2k reviews,Beginner," Python Programming, Theoretical Computer Science, Programming Principles ",3-6 months
Foundations of User Experience (UX) Design,4.8 stars,57.2k reviews,Beginner," Human Computer Interaction, User Experience, User Experience Design ",1 month
Google Business Intelligence new,4.7 stars,580 reviews,Advanced," Data Management, Business Analysis, Business Intelligence ",3-6 months
Connect and Protect: Networks and Network Security new,4.8 stars,1k reviews,Beginner," Computer Networking, Network Security, Security Engineering ",1 month
Meta Database Engineer,4.6 stars,3.7k reviews,Beginner," SQL, Databases, Statistical Programming ",3-6 months
SAP Technology Consultant,4.8 stars,350 reviews,Beginner," Cloud Computing, Software As A Service, Leadership and Management ",3-6 months
IBM Machine Learning,4.6 stars,1.7k reviews,Intermediate," Machine Learning, Probability & Statistics, General Statistics ",3-6 months
AWS Cloud Solutions Architect,4.8 stars,4.2k reviews,Intermediate," Amazon Web Services, Cloud Computing, Data Management ",3-6 months
Learn SQL Basics for Data Science specialization ,4.6 stars,16.2k reviews,Beginner," SQL, Data Management, Statistical Programming ",3-6 months
AI Product Management specialization ,4.7 stars,274 reviews,Beginner," Machine Learning, Machine Learning Algorithms, Applied Machine Learning ",3-6 months
Data Structures and Algorithms specialization ,4.6 stars,16.1k reviews,Intermediate," Algorithms, Theoretical Computer Science, Computer Programming ",3-6 months
Data Science specialization ,4.5 stars,50.2k reviews,Beginner," R Programming, Data Analysis, Statistical Programming ",3-6 months
"HTML, CSS, and Javascript for Web Developers",4.7 stars,15.6k reviews,Mixed," HTML and CSS, Web Development, Data Structures ",1-3 months
Preparing for Google Cloud Certification: Cloud Engineer,4.7 stars,57.2k reviews,Intermediate," Cloud Computing, Google Cloud Platform, Web Development ",3-6 months
Scrum Master Certification specialization ,4.7 stars,2.3k reviews,Beginner," Software Engineering, Agile Software Development, Scrum (Software Development) ",3-6 months
Preparing for Google Cloud Certification: Cloud DevOps Engineer,4.7 stars,52.4k reviews,Beginner," Cloud Computing, Google Cloud Platform, Leadership and Management ",3-6 months
Google Cloud Database Engineer specialization ,4.7 stars,47.2k reviews,Intermediate," Cloud Computing, Data Management, Statistical Programming ",3-6 months
Introduction to Cloud Computing,4.7 stars,4.2k reviews,Beginner," Cloud Computing, Cloud Engineering, Cloud Infrastructure ",1-3 months
Self-Driving Cars specialization ,4.7 stars,3.3k reviews,Advanced," Computer Programming, Python Programming, Algorithms ",3-6 months
Databases and SQL for Data Science with Python,4.6 stars,18.1k reviews,Beginner," SQL, Databases, Data Management ",1-3 months
Software Design and Architecture specialization ,4.6 stars,3.6k reviews,Beginner," Software Architecture, Software Engineering, Computer Science ",3-6 months
Convolutional Neural Networks,4.9 stars,41.6k reviews,Intermediate," Artificial Neural Networks, Computer Vision, Deep Learning ",1 month
Introduction to Machine Learning in Production,4.8 stars,2.5k reviews,Advanced," Machine Learning, Applied Machine Learning, Computer Vision ",1 month
Advanced Data Science with IBM specialization ,4.3 stars,3k reviews,Advanced," Machine Learning, Statistical Programming, Python Programming ",3-6 months
Object Oriented Programming in Java specialization ,4.6 stars,14.5k reviews,Beginner," Java Programming, Computer Programming, Data Structures ",3-6 months
Conduct UX Research and Test Early Concepts,4.8 stars,4.1k reviews,Beginner," Business Communication, Communication, Design and Product ",1 month
Cybersecurity for Everyone free,4.7 stars,927 reviews,Beginner," Cyberattacks, Security Engineering, Computer Networking ",1-3 months
User Experience Research and Design specialization ,4.7 stars,1.9k reviews,Beginner," Human Computer Interaction, Design and Product, User Experience ",3-6 months
Meta AR Developer new,4.6 stars,53 reviews,Intermediate," Computer Vision, Machine Learning, Software Engineering ",3-6 months
Introduction to Front-End Development,4.8 stars,7.6k reviews,Beginner," HTML and CSS, React (web framework), Software Framework ",1 month
Blockchain specialization ,4.6 stars,8.5k reviews,Intermediate," BlockChain, Finance, Cryptography ",3-6 months
Core Java specialization ,4.6 stars,2k reviews,Intermediate," Computer Programming, Java Programming, Mobile Development ",3-6 months
FPGA Design for Embedded Systems specialization ,4.5 stars,1.6k reviews,Intermediate," Hardware Design, Computer Architecture, Theoretical Computer Science ",3-6 months
Algorithms for Battery Management Systems specialization ,4.7 stars,2.3k reviews,Intermediate," Mathematics, Probability & Statistics, Computer Programming ",3-6 months
Artificial Intelligence: an Overview specialization ,4.6 stars,142 reviews,Beginner," Machine Learning, Theoretical Computer Science, Computational Thinking ",3-6 months
"Modern Robotics:  Mechanics, Planning, and Control specialization ",4.7 stars,1k reviews,Intermediate," Mathematics, Linear Algebra, Calculus ",3-6 months
Introduction to Web Development,4.7 stars,3.6k reviews,Beginner," Web Development, HTML and CSS, Javascript ",1-3 months
Introduction to User Experience Design free,4.5 stars,7.8k reviews,Beginner," Design and Product, Human Computer Interaction, Product Design ",1-3 months
AI for Medical Diagnosis,4.7 stars,1.9k reviews,Intermediate," Machine Learning, Python Programming, Artificial Neural Networks ",1 month
Power Electronics specialization ,4.7 stars,4k reviews,Intermediate," Research and Design, Mathematics, Operations Research ",3-6 months
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,4.7 stars,2.5k reviews,Advanced," Computer Graphic Techniques, Computer Graphics, Graphics Software ",1 month
Solar Energy Basics,4.8 stars,2.3k reviews,Beginner," Applied Mathematics, Operating Systems, Systems Design ",1-3 months
Big Data specialization ,4.5 stars,13.6k reviews,Beginner," Data Management, Big Data, Data Analysis ",3-6 months
Software Testing and Automation specialization ,4.3 stars,719 reviews,Intermediate," Software Engineering, Software Testing, Computer Programming ",3-6 months
Introduction to Programming with MATLAB,4.8 stars,17.1k reviews,Beginner," Computer Programming, Other Programming Languages, Matlab ",1-3 months
Natural Language Processing with Attention Models,4.4 stars,900 reviews,Intermediate," Artificial Neural Networks, Deep Learning, Machine Learning ",1 month
Exploratory Data Analysis for Machine Learning,4.6 stars,1.3k reviews,Intermediate," Data Analysis, Machine Learning, Business Analysis ",1-3 months
Introduction to Agile Development and Scrum,4.9 stars,1.2k reviews,Beginner," Software Engineering, Agile Software Development, Scrum (Software Development) ",1 month
Data Science with Databricks for Data Analysts specialization ,4.5 stars,501 reviews,Intermediate," Data Management, Apache, Algorithms ",3-6 months
Mathematics for Engineers specialization ,4.8 stars,6.8k reviews,Beginner," Mathematics, Linear Algebra, Calculus ",3-6 months
Getting Started with Generative AI API new specialization ,3.5 stars,13 reviews,Beginner," Computer Programming, Computer Programming Tools, Python Programming ",1-3 months
Code Yourself! An Introduction to Programming free,4.7 stars,3.2k reviews,Beginner," Computational Thinking, Computer Programming, Algorithms ",1-3 months
Embedding Sensors and Motors specialization ,4.6 stars,2.6k reviews,Intermediate," Computer Architecture, Hardware Design, Design and Product ",3-6 months
"Energy Production, Distribution & Safety specialization ",4.7 stars,10.2k reviews,Beginner," Computer Architecture, Computer Networking, Network Architecture ",3-6 months
Introduction to Git and GitHub,4.8 stars,6.9k reviews,Beginner," Computer Programming, Computer Programming Tools, Application Development ",1 month
CAD and Digital Manufacturing specialization ,4.7 stars,5k reviews,Intermediate," Design and Product, Theoretical Computer Science, Product Design ",3-6 months
Introduction to Hardware and Operating Systems,4.8 stars,720 reviews,Beginner," Computer Architecture, Operating Systems, Hardware Design ",1-3 months
Deploying Machine Learning Models in Production,4.5 stars,271 reviews,Advanced," Machine Learning, DevOps, Applied Machine Learning ",1 month
