Course Title,Rating,Reviews,Organization,Level,Skill Outcome,Exact Learning Period,link,,,,,,,,,,
Programming Fundamentals,4.7 stars,6.6k reviews,Programming Fundamentals course by Duke University,Beginner," Theoretical Computer Science, Algorithms, C Programming Language Family ",1 month,/learn/programming-fundamentals,,,,,,,,,,0
Microwave engineering and antennas free,4.6 stars,100 reviews,Microwave engineering and antennas free course by Eindhoven University of Technology,Intermediate," Mathematics, Calculus, Linear Algebra ",1-3 months,/learn/microwave-antenna,,,,,,,,,,0
C Programming: Getting Started - 1,4.6 stars,133 reviews,C Programming: Getting Started - 1 course by Dartmouth College,Beginner," Computer Programming, Computer Programming Tools, Entrepreneurship ",1-3 months,/learn/c-programming-getting-started,,,,,,,,,,0
面向对象技术高级课程（The Advanced Object-Oriented Technology） free,4.5 stars,12 reviews,面向对象技术高级课程（The Advanced Object-Oriented Technology） free course by Peking University,Advanced, -,3-6 months,/learn/aoo,,,,,,,,,,0
Introduction to Software Engineering,4.7 stars,380 reviews,Introduction to Software Engineering course by IBM,Beginner," Software Engineering, Software Engineering Tools, Agile Software Development ",1-3 months,/learn/introduction-to-software-engineering,,,,,,,,,,0
Ethics in Engineering new free,4.8 stars,6 reviews,Ethics in Engineering new free course by University of Michigan,Beginner, -,1 month,/learn/ethics-in-engineering,,,,,,,,,,0
Machine Learning for All,4.7 stars,3.2k reviews,Machine Learning for All course by University of London,Beginner," Machine Learning, Applied Machine Learning, Artificial Neural Networks ",1 month,/learn/uol-machine-learning-for-all,,,,,,,,,,0
Cyber-Physical Systems: Modeling and Simulation free,4.5 stars,40 reviews,Cyber-Physical Systems: Modeling and Simulation free course by University of California,Intermediate," Differential Equations, Mathematics ",1 month,/learn/cyber-physical-systems-1,,,,,,,,,,0
Introduction and Programming with IoT Boards free,4.6 stars,1.7k reviews,Introduction and Programming with IoT Boards free course by Pohang University of Science and Technology,Beginner," Internet Of Things, Information Technology, Computer Science ",1-3 months,/learn/introduction-iot-boards,,,,,,,,,,0
C Programming: Language Foundations - 2,4.6 stars,56 reviews,C Programming: Language Foundations - 2 course by Dartmouth College,Beginner," Algorithms, Computer Programming, Computer Programming Tools ",1-3 months,/learn/c-programming-language-foundations,,,,,,,,,,0
C Programming: Modular Programming and Memory Management - 3,4.7 stars,35 reviews,C Programming: Modular Programming and Memory Management - 3 course by Dartmouth College,Beginner," Computer Programming, Human Computer Interaction, Algebra ",1-3 months,/learn/c-programming-modular-programming-and-memory-management,,,,,,,,,,0
C Programming: Pointers and Memory Management - 4,4.7 stars,30 reviews,C Programming: Pointers and Memory Management - 4 course by Dartmouth College,Beginner," Computer Programming, Human Computer Interaction, Other Programming Languages ",1-3 months,/learn/c-programming-pointers-and-memory-management,,,,,,,,,,0
Linux Basics: The Command Line Interface - 6,4.7 stars,15 reviews,Linux Basics: The Command Line Interface - 6 course by Dartmouth College,Beginner," Computer Architecture, Computer Networking, Computer Programming ",1-3 months,/learn/linux-basics-the-command-line-interface,,,,,,,,,,0
C Programming: Using Linux Tools and Libraries - 7,4.6 stars,14 reviews,C Programming: Using Linux Tools and Libraries - 7 course by Dartmouth College,Beginner," Computer Programming, Linux ",1-3 months,/learn/c-programming-using-linux-tools-and-libraries,,,,,,,,,,0
C Programming: Advanced Data Types - 5,4.3 stars,24 reviews,C Programming: Advanced Data Types - 5 course by Dartmouth College,Advanced," Computer Programming, Human Computer Interaction, Other Programming Languages ",1-3 months,/learn/c-programming-advanced-data-types,,,,,,,,,,0
Web Applications for Everybody specialization ,4.7 stars,8.8k reviews,Web Applications for Everybody specialization by University of Michigan,Intermediate," Web Development, Other Web Programming Languages, SQL ",3-6 months,/specializations/web-applications,,,,,,,,,,0
Fundamentals of Digital Image and Video Processing free,4.6 stars,1.7k reviews,Fundamentals of Digital Image and Video Processing free course by Northwestern University,Mixed," Computer Graphic Techniques, Computer Graphics, Computer Vision ",1-3 months,/learn/digital,,,,,,,,,,0
Autodesk CAD/CAM/CAE for Mechanical Engineering specialization ,4.8 stars,4.7k reviews,Autodesk CAD/CAM/CAE for Mechanical Engineering specialization by Autodesk,Intermediate," Algorithms, Design and Product, Theoretical Computer Science ",3-6 months,/specializations/autodesk-cad-cam-cae-mechanical-engineering,,,,,,,,,,0
Introduction to Self-Driving Cars,4.7 stars,2.7k reviews,Introduction to Self-Driving Cars course by University of Toronto,Advanced," Computer Programming, Python Programming, Application Development ",1-3 months,/learn/intro-self-driving-cars,,,,,,,,,,0
State Estimation and Localization for Self-Driving Cars,4.7 stars,794 reviews,State Estimation and Localization for Self-Driving Cars course by University of Toronto,Advanced," Computer Programming, Computer Science, Python Programming ",1-3 months,/learn/state-estimation-localization-self-driving-cars,,,,,,,,,,0
Autodesk Fusion 360 Integrated CAD/CAM/CAE,4.7 stars,1.9k reviews,Autodesk Fusion 360 Integrated CAD/CAM/CAE course by Autodesk,Intermediate," Theoretical Computer Science, Computer Graphic Techniques, Design and Product ",1-3 months,/learn/fusion-360-integrated-cad-cam-cae,,,,,,,,,,0
Linear Regression new,-,#VALUE!,Linear Regression new course by Illinois Tech,Intermediate, R Programming ,1 month,/learn/illinois-tech-linear-regression,,,,,,,,,,0
Model Diagnostics and Remedial Measures new,-,-,Model Diagnostics and Remedial Measures new course by Illinois Tech,Intermediate, R Programming ,1 month,/learn/illinois-tech-model-diagnostics-and-remedial-measures,,,,,,,,,,0
Computer Vision for Engineering and Science specialization ,4.7 stars,26 reviews,Computer Vision for Engineering and Science specialization by MathWorks,Intermediate," Machine Learning, Computer Vision, Computer Graphic Techniques ",1-3 months,/specializations/computer-vision,,,,,,,,,,0
Embedded Software and Hardware Architecture,4.5 stars,448 reviews,Embedded Software and Hardware Architecture course by University of Colorado Boulder,Intermediate," C Programming Language Family, Computer Programming, Theoretical Computer Science ",1 month,/learn/embedded-software-hardware,,,,,,,,,,0
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),4.9 stars,3.4k reviews,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course) course by Hebrew University of Jerusalem,Mixed," Computer Architecture, Computer Programming, Hardware Design ",1-3 months,/learn/build-a-computer,,,,,,,,,,0
Operations Research (1): Models and Applications free,4.8 stars,365 reviews,Operations Research (1): Models and Applications free course by National Taiwan University,Beginner," Operations Research, Research and Design, Strategy and Operations ",1-3 months,/learn/operations-research-modeling,,,,,,,,,,0
Arm Cortex-M Processors Overview,4.7 stars,34 reviews,Arm Cortex-M Processors Overview course by Arm,Intermediate, Computer Architecture ,1 month,/learn/arm-cortex-m-processors-overview-course1,,,,,,,,,,0
Introduction to Computer Vision,4.5 stars,20 reviews,Introduction to Computer Vision course by MathWorks,Intermediate," Computer Vision, Machine Learning, Computer Graphic Techniques ",1 month,/learn/intro-computer-vision,,,,,,,,,,0
Operations Research (2): Optimization Algorithms free,4.8 stars,83 reviews,Operations Research (2): Optimization Algorithms free course by National Taiwan University,Intermediate," Strategy and Operations, Operations Research, Research and Design ",1-3 months,/learn/operations-research-algorithms,,,,,,,,,,0
Machine Learning for Computer Vision,5.0 stars,5 reviews,Machine Learning for Computer Vision course by MathWorks,Intermediate," Machine Learning, Computer Vision ",1 month,/learn/ml-computer-vision,,,,,,,,,,0
Object Tracking and Motion Detection with Computer Vision,5.0 stars,5 reviews,Object Tracking and Motion Detection with Computer Vision course by MathWorks,Intermediate," Computer Vision, Machine Learning ",1 month,/learn/object-tracking-and-motion-computer-vision,,,,,,,,,,0
Operations Research (3): Theory free,5.0 stars,53 reviews,Operations Research (3): Theory free course by National Taiwan University,Advanced," Operations Research, Research and Design, Strategy and Operations ",1-3 months,/learn/operations-research-theory,,,,,,,,,,0
Programming with Cloud IoT Platforms free,4.3 stars,294 reviews,Programming with Cloud IoT Platforms free course by Pohang University of Science and Technology,Beginner," Cloud Computing, Computer Architecture, Computer Networking ",1-3 months,/learn/cloud-iot-platform,,,,,,,,,,0
Digital Systems: From Logic Gates to Processors free,4.4 stars,713 reviews,Digital Systems: From Logic Gates to Processors free course by Universitat Autònoma de Barcelona,Intermediate," Computational Logic, Computer Architecture, Theoretical Computer Science ",1-3 months,/learn/digital-systems,,,,,,,,,,0
Bachelor of Science in Computer Science degree ,-,-,Bachelor of Science in Computer Science degree by University of London,-," Computer Programming, Theoretical Computer Science, Web Development ",1 month,/degrees/bachelor-of-science-computer-science-london,,,,,,,,,,0
Master of Science in Computer Science degree ,-,-,Master of Science in Computer Science degree by University of Oklahoma,-,-,1 month,/degrees/master-of-computer-science-ou,,,,,,,,,,0
Machine Learning and Reinforcement Learning in Finance specialization ,3.7 stars,783 reviews,Machine Learning and Reinforcement Learning in Finance specialization by New York University,Intermediate," Machine Learning, Finance, Algorithms ",3-6 months,/specializations/machine-learning-reinforcement-finance,,,,,,,,,,0
Image and Video Processing: From Mars to Hollywood with a Stop at the Hospital free,4.7 stars,1.1k reviews,Image and Video Processing: From Mars to Hollywood with a Stop at the Hospital free course by Duke University,Mixed," Computer Graphic Techniques, Computer Graphics, Applied Mathematics ",1-3 months,/learn/image-processing,,,,,,,,,,0
Guided Tour of Machine Learning in Finance,3.8 stars,654 reviews,Guided Tour of Machine Learning in Finance course by New York University,Intermediate," Machine Learning, Algorithms, Finance ",1 month,/learn/guided-tour-machine-learning-finance,,,,,,,,,,0
Fundamentals of Machine Learning in Finance,3.8 stars,323 reviews,Fundamentals of Machine Learning in Finance course by New York University,Intermediate," Machine Learning, Markov Model ",1 month,/learn/fundamentals-machine-learning-in-finance,,,,,,,,,,0
Teaching Impacts of Technology: Relationships,4.0 stars,-,Teaching Impacts of Technology: Relationships course by University of California San Diego,Beginner," Marketing, Entrepreneurship, Communication ",1-3 months,/learn/teach-impacts-technology-relationships,,,,,,,,,,0
Network Analysis in Systems Biology,4.5 stars,192 reviews,Network Analysis in Systems Biology course by Icahn School of Medicine at Mount Sinai,Intermediate," Bioinformatics, Probability & Statistics, Algorithms ",1-3 months,/learn/network-biology,,,,,,,,,,0
Deploying a Pytorch Computer Vision Model API to Heroku guided project ,5.0 stars,-,Deploying a Pytorch Computer Vision Model API to Heroku guided project by Coursera Project Network,Intermediate," Computer Vision, Machine Learning, Python Programming ",1 month,/projects/deploying-a-pytorch-computer-vision-model-api-on-heroku,,,,,,,,,,0
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,4.7 stars,895 reviews,Autodesk Certified Professional: Revit for Architectural Design Exam Prep course by Autodesk,Advanced," Computer Graphics, Graphics Software, Software Architecture ",1 month,/learn/autodesk-revit-architectural-design,,,,,,,,,,0
Bachelor of Science in Computer Science degree ,-,-,Bachelor of Science in Computer Science degree by BITS Pilani,-," Mathematical Theory & Analysis, Mathematics, Algorithms ",1 month,/degrees/bachelor-of-science-computer-science-bits,,,,,,,,,,0
IBM Data Engineering,4.6 stars,44.4k reviews,IBM Data Engineering professional certificate by IBM,Beginner," Data Management, Databases, Data Structures ",3-6 months,/professional-certificates/ibm-data-engineer,,,,,,,,,,0
Data Engineering Foundations specialization ,4.6 stars,43.4k reviews,Data Engineering Foundations specialization by IBM,Beginner," Data Structures, Data Management, Databases ",3-6 months,/specializations/data-engineering-foundations,,,,,,,,,,0
Prompt Engineering for ChatGPT new,4.9 stars,904 reviews,Prompt Engineering for ChatGPT new course by Vanderbilt University,Beginner," Advertising, Business Analysis, Communication ",1-3 months,/learn/prompt-engineering,,,,,,,,,,0
IBM AI Engineering,4.6 stars,16.9k reviews,IBM AI Engineering professional certificate by IBM,Intermediate," Machine Learning, Computer Programming, Python Programming ",3-6 months,/professional-certificates/ai-engineer,,,,,,,,,,0
IBM Applied DevOps Engineering,4.7 stars,3.5k reviews,IBM Applied DevOps Engineering professional certificate by IBM,Intermediate," DevOps, Software Engineering, Cloud Computing ",3-6 months,/professional-certificates/ibm-applied-devops-engineering,,,,,,,,,,0
Machine Learning Engineering for Production (MLOps) specialization ,4.7 stars,3.1k reviews,Machine Learning Engineering for Production (MLOps) specialization by DeepLearning.AI,Advanced," Machine Learning, Applied Machine Learning, DevOps ",3-6 months,/specializations/machine-learning-engineering-for-production-mlops,,,,,,,,,,0
The Bits and Bytes of Computer Networking,4.7 stars,45.3k reviews,The Bits and Bytes of Computer Networking course by Google,Beginner," Computer Networking, Network Model, Network Security ",1-3 months,/learn/computer-networking,,,,,,,,,,0
Microsoft Azure Data Engineering Associate (DP-203),4.4 stars,713 reviews,Microsoft Azure Data Engineering Associate (DP-203) professional certificate by Microsoft,Intermediate," Cloud Computing, Microsoft Azure, Data Management ",3-6 months,/professional-certificates/microsoft-azure-dp-203-data-engineering,,,,,,,,,,0
Accelerated Computer Science Fundamentals specialization ,4.7 stars,3.2k reviews,Accelerated Computer Science Fundamentals specialization by University of Illinois at Urbana-Champaign,Intermediate," Computer Programming, C++ Programming, Data Structures ",1-3 months,/specializations/cs-fundamentals,,,,,,,,,,0
Introduction to Computers and Operating Systems and Security new,4.8 stars,143 reviews,Introduction to Computers and Operating Systems and Security new course by Microsoft,Beginner," Cloud Computing, Communication, Computer Architecture ",1 month,/learn/introduction-to-computers-and-operating-systems-and-security,,,,,,,,,,0
"Data Engineering, Big Data, and Machine Learning on GCP specialization ",4.6 stars,17.7k reviews,Data Engineering,Intermediate," Cloud Computing, Computer Architecture, Data Management ",3-6 months,/specializations/gcp-data-machine-learning,,,,,,,,,,0
Financial Engineering and Risk Management specialization ,4.5 stars,188 reviews,Financial Engineering and Risk Management specialization by Columbia University,Intermediate," Finance, Probability & Statistics, Risk Management ",3-6 months,/specializations/financialengineering,,,,,,,,,,0
Introduction to Discrete Mathematics for Computer Science specialization ,4.5 stars,3.4k reviews,Introduction to Discrete Mathematics for Computer Science specialization by University of California San Diego,Beginner," Mathematics, Graph Theory, Computer Science ",3-6 months,/specializations/discrete-mathematics,,,,,,,,,,0
"Ethics, Technology and Engineering",4.7 stars,693 reviews,Ethics,Beginner, Critical Thinking ,1-3 months,/learn/ethics-technology-engineering,,,,,,,,,,0
Site Reliability Engineering: Measuring and Managing Reliability,4.5 stars,851 reviews,Site Reliability Engineering: Measuring and Managing Reliability course by Google Cloud,Intermediate," DevOps, Information Technology, Computer Science ",1-3 months,/learn/site-reliability-engineering-slos,,,,,,,,,,0
Introduction to Data Engineering,4.7 stars,1.9k reviews,Introduction to Data Engineering course by IBM,Beginner," Data Engineering, Data Management, Extract, Transform, Load ",1 month,/learn/introduction-to-data-engineering,,,,,,,,,,0
Optical Engineering specialization ,4.4 stars,325 reviews,Optical Engineering specialization by University of Colorado Boulder,Advanced," Theoretical Computer Science, Algorithms, Entrepreneurship ",3-6 months,/specializations/optical-engineering,,,,,,,,,,0
Fundamentals of Engineering Exam Review,4.7 stars,600 reviews,Fundamentals of Engineering Exam Review course by Georgia Institute of Technology,Mixed," Algebra, Entrepreneurship, Leadership and Management ",1-3 months,/learn/fe-exam,,,,,,,,,,0
"Python, Bash and SQL Essentials for Data Engineering specialization ",4.5 stars,265 reviews,Python,Beginner," Computer Programming, Statistical Programming, Python Programming ",3-6 months,/specializations/python-bash-sql-data-engineering-duke,,,,,,,,,,0
Computer Forensics specialization ,4.8 stars,174 reviews,Computer Forensics specialization by Infosec,Intermediate," Security Engineering, Computer Networking, Computer Security Incident Management ",3-6 months,/specializations/computerforensics,,,,,,,,,,0
Akamai Network Engineering new,4.9 stars,12 reviews,Akamai Network Engineering new professional certificate by Akamai Technologies,Beginner," Computer Security Incident Management, Mobile Security, Network Architecture ",3-6 months,/professional-certificates/akamai-network-engineering,,,,,,,,,,0
Python Project for Data Engineering,4.6 stars,426 reviews,Python Project for Data Engineering course by IBM,Intermediate," Data Structures, Python Programming, Extract, Transform, Load ",1 month,/learn/python-project-for-data-engineering,,,,,,,,,,0
Introduction to Computer Information Systems specialization ,4.4 stars,121 reviews,Introduction to Computer Information Systems specialization by University of California,Beginner," Computer Networking, Research and Design, Communication ",1-3 months,/specializations/introduction-computer-infosystems,,,,,,,,,,0
Foundations of Healthcare Systems Engineering,4.6 stars,230 reviews,Foundations of Healthcare Systems Engineering course by Johns Hopkins University,Mixed," Leadership and Management, Entrepreneurship, Operating Systems ",1 month,/learn/foundations-of-healthcare-systems-engineering,,,,,,,,,,0
Introduction to Computer Programming with Visual Basic specialization ,4.6 stars,93 reviews,Introduction to Computer Programming with Visual Basic specialization by LearnQuest,Beginner," Computer Programming, Other Programming Languages, Theoretical Computer Science ",3-6 months,/specializations/visual-basic-computer-programming,,,,,,,,,,0
Software Engineering Tools and Practices new specialization ,3.8 stars,12 reviews,Software Engineering Tools and Practices new specialization by Codio,Beginner," Cloud API, Cloud Infrastructure, Communication ",3-6 months,/specializations/codio-software-engineering,,,,,,,,,,0
Software Engineering specialization ,4.6 stars,189 reviews,Software Engineering specialization by The Hong Kong University of Science and Technology,Intermediate," Software Engineering, Theoretical Computer Science, Software Testing ",3-6 months,/specializations/software-engineering,,,,,,,,,,0
Computer Security and Systems Management specialization ,4.6 stars,1.8k reviews,Computer Security and Systems Management specialization by University of Colorado System,Beginner," Operating Systems, Security Engineering, System Security ",3-6 months,/specializations/computer-security-systems-management,,,,,,,,,,0
"Data Engineering, Big Data and ML on Google Cloud 日本語版 specialization ",4.4 stars,287 reviews,Data Engineering,Intermediate," Cloud Computing, Data Management, Computer Architecture ",3-6 months,/specializations/gcp-data-machine-learning-jp,,,,,,,,,,0
"Computers, Waves, Simulations: A Practical Introduction to Numerical Methods using Python free",4.7 stars,333 reviews,Computers,Intermediate," Differential Equations, Mathematics, Mathematical Theory & Analysis ",1-3 months,/learn/computers-waves-simulations,,,,,,,,,,0
Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics free,4.6 stars,539 reviews,Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics free course by University of Rochester,Intermediate," Mathematics, Applied Mathematics, Computer Graphic Techniques ",1-3 months,/learn/audio-engineering,,,,,,,,,,0
Introduction to Mechanical Engineering Design and Manufacturing with Fusion 360,4.8 stars,3.7k reviews,Introduction to Mechanical Engineering Design and Manufacturing with Fusion 360 course by Autodesk,Intermediate," Algorithms, Design and Product, Entrepreneurship ",1-3 months,/learn/mechanical-engineering-design-manufacturing,,,,,,,,,,0
Fundamentals of Computer Network Security specialization ,3.9 stars,528 reviews,Fundamentals of Computer Network Security specialization by University of Colorado System,Intermediate," Security Engineering, Information Technology, Cryptography ",3-6 months,/specializations/computer-network-security,,,,,,,,,,0
Image Processing for Engineering and Science specialization ,4.8 stars,98 reviews,Image Processing for Engineering and Science specialization by MathWorks,Beginner," Computer Vision, Machine Learning, Computer Graphic Techniques ",1-3 months,/specializations/image-processing,,,,,,,,,,0
Data Engineering and Machine Learning using Spark,3.9 stars,113 reviews,Data Engineering and Machine Learning using Spark course by IBM,Intermediate," Apache, Big Data, Applied Machine Learning ",1 month,/learn/data-engineering-and-machine-learning-using-spark,,,,,,,,,,0
Python and Pandas for Data Engineering,4.6 stars,149 reviews,Python and Pandas for Data Engineering course by Duke University,Beginner," Computer Programming, Python Programming, Statistical Programming ",1 month,/learn/python-and-pandas-for-data-engineering-duke,,,,,,,,,,0
Requirements Engineering: Secure Software  Specifications specialization ,4.5 stars,764 reviews,Requirements Engineering: Secure Software  Specifications specialization by University of Colorado System,Beginner," Software Engineering, Design and Product, Product Design ",3-6 months,/specializations/requirements-engineering-secure-software,,,,,,,,,,0
Real-World Engineering Management new specialization ,4.4 stars,33 reviews,Real-World Engineering Management new specialization by Advancing Women in Tech,Beginner," Human Resources, Leadership Development, Leadership and Management ",1-3 months,/specializations/real-world-engineering-management,,,,,,,,,,0
Software Engineering: Modeling Software Systems using UML,4.6 stars,103 reviews,Software Engineering: Modeling Software Systems using UML course by The Hong Kong University of Science and Technology,Intermediate," Software Engineering, Computer Programming, Computer Programming Tools ",1-3 months,/learn/software-engineering-modeling-software-systems-using-uml,,,,,,,,,,0
Computer Vision in Microsoft Azure,4.6 stars,63 reviews,Computer Vision in Microsoft Azure course by Microsoft,Beginner," Cloud Computing, Computer Vision, Machine Learning ",1 month,/learn/computer-vision-microsoft-azure,,,,,,,,,,0
Linux and Bash for Data Engineering,4.6 stars,71 reviews,Linux and Bash for Data Engineering course by Duke University,Intermediate," Computer Programming, Human Computer Interaction, Software Architecture ",1 month,/learn/linux-and-bash-for-data-engineering-duke,,,,,,,,,,0
Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion free,4.9 stars,698 reviews,Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion free course by Georgia Institute of Technology,Mixed," Entrepreneurship, Leadership and Management, Mathematics ",1-3 months,/learn/dynamics,,,,,,,,,,0
Engineering Design Process with Autodesk Fusion 360,4.7 stars,440 reviews,Engineering Design Process with Autodesk Fusion 360 course by Autodesk,Advanced," Design and Product, Theoretical Computer Science, Product Design ",1 month,/learn/engineering-design-process-fusion-360,,,,,,,,,,0
Microsoft Azure Databricks for Data Engineering,4.4 stars,72 reviews,Microsoft Azure Databricks for Data Engineering course by Microsoft,Intermediate," Cloud Computing, Microsoft Azure, Data Management ",1-3 months,/learn/microsoft-azure-databricks-for-data-engineering,,,,,,,,,,0
Scripting with Python and SQL for Data Engineering,4.5 stars,65 reviews,Scripting with Python and SQL for Data Engineering course by Duke University,Intermediate," Data Management, Databases, Statistical Programming ",1 month,/learn/scripting-with-python-sql-for-data-engineering-duke,,,,,,,,,,0
Foundations of Computer Science,4.5 stars,61 reviews,Foundations of Computer Science course by LearnQuest,Beginner," Theoretical Computer Science, Algorithms, Cloud Computing ",1-3 months,/learn/computer-science-foundations,,,,,,,,,,0
Cloud Data Engineering,4.1 stars,62 reviews,Cloud Data Engineering course by Duke University,Intermediate," Cloud Computing, Data Management, Amazon Web Services ",1 month,/learn/cloud-data-engineering-duke,,,,,,,,,,0
Prompt Engineering with GPT: Programming for Custom Content new guided project ,3.0 stars,-,Prompt Engineering with GPT: Programming for Custom Content new guided project by Coursera Project Network,Intermediate," Application Development, Machine Learning, Python Programming ",1 month,/projects/rudi-hinds-prompt-engineering-with-chatgpt-api-generate-exam-questions,,,,,,,,,,0
Feature Engineering,4.5 stars,1.7k reviews,Feature Engineering course by Google Cloud,Intermediate," Machine Learning, Feature Engineering, Computer Programming ",1-3 months,/learn/feature-engineering,,,,,,,,,,0
Web Applications and Command-Line Tools for Data Engineering,4.1 stars,21 reviews,Web Applications and Command-Line Tools for Data Engineering course by Duke University,Intermediate," Cloud Computing, Amazon Web Services, Theoretical Computer Science ",1 month,/learn/web-app-command-line-tools-for-data-engineering-duke,,,,,,,,,,0
Software Engineering: Implementation and Testing,4.5 stars,23 reviews,Software Engineering: Implementation and Testing course by The Hong Kong University of Science and Technology,Intermediate," Software Engineering, Software Testing, Agile Software Development ",1-3 months,/learn/software-engineering-implementation-and-testing,,,,,,,,,,0
Computer Vision Fundamentals with Google Cloud,4.6 stars,528 reviews,Computer Vision Fundamentals with Google Cloud course by Google Cloud,Advanced," Artificial Neural Networks, Computer Graphic Techniques, Computer Graphics ",1-3 months,/learn/image-understanding-tensorflow-gcp,,,,,,,,,,0
Computer Simulations,4.5 stars,77 reviews,Computer Simulations course by University of California,Beginner," Software Engineering, Theoretical Computer Science, Accounting ",1 month,/learn/computer-simulations,,,,,,,,,,0
AI Workflow: Feature Engineering and Bias Detection,4.3 stars,66 reviews,AI Workflow: Feature Engineering and Bias Detection course by IBM,Advanced," Algorithms, Cloud Computing, Dimensionality Reduction ",1 month,/learn/ibm-ai-workflow-feature-engineering-bias-detection,,,,,,,,,,0
Proactive Computer Security,4.7 stars,239 reviews,Proactive Computer Security course by University of Colorado System,Beginner," Security Engineering, Computer Networking, Computer Security Incident Management ",1-3 months,/learn/proactive-computer-security,,,,,,,,,,0
